Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82753;12/03/2000;1200;0;;20.9;;;;;;
82753;13/03/2000;0000;;30.5;;4.2;3.8;25.22;84.5;2.7;
82753;13/03/2000;1200;0;;22.5;;;;;;
82753;14/03/2000;0000;;30.2;;2.5;2.7;24.64;93.25;1.733333;
82753;14/03/2000;1200;1.4;;22.4;;;;;;
82753;15/03/2000;0000;;30;;5.7;1.4;24.4;89.5;2.066667;
82753;15/03/2000;1200;9.5;;21.6;;;;;;
82753;16/03/2000;0000;;30.1;;4.5;2.3;24.34;87.5;2.1;
82753;16/03/2000;1200;2.5;;21.8;;;;;;
82753;17/03/2000;0000;;29.7;;8.9;3.1;23.7;86;2.3;
82753;17/03/2000;1200;0;;19.8;;;;;;
82753;18/03/2000;0000;;30.3;;10.1;3.3;24.18;83.25;2.366667;
82753;18/03/2000;1200;0;;19.2;;;;;;
82753;19/03/2000;0000;;30.8;;7.8;3.5;24.86;76.5;1.666667;
82753;19/03/2000;1200;0;;19.7;;;;;;
82753;20/03/2000;0000;;31.3;;7.2;2.6;24.74;87;1.2;
82753;20/03/2000;1200;0;;19.8;;;;;;
82753;21/03/2000;0000;;30;;9.2;3.5;24.74;76.5;3.433333;
82753;21/03/2000;1200;0;;22.1;;;;;;
82753;22/03/2000;0000;;29.9;;10.7;4.3;23.84;75;2.9;
82753;22/03/2000;1200;0;;20.2;;;;;;
82753;23/03/2000;0000;;30.1;;5.3;3.9;23.96;81.25;2.433333;
82753;23/03/2000;1200;0;;19.7;;;;;;
82753;24/03/2000;0000;;30.3;;6;3.2;24.24;80.75;3.233333;
82753;24/03/2000;1200;0;;20.5;;;;;;
82753;25/03/2000;0000;;28.6;;2.3;3.4;23.94;80.5;2.333333;
82753;25/03/2000;1200;0;;21.7;;;;;;
82753;26/03/2000;0000;;30;;5.3;2.9;24.5;81.25;2;
82753;26/03/2000;1200;0;;19.5;;;;;;
82753;27/03/2000;0000;;31.1;;7.9;3;24.7;86.75;2.733333;
82753;27/03/2000;1200;1;;21.6;;;;;;
82753;28/03/2000;0000;;30.6;;8.8;4.4;24.72;81.25;2.8;
82753;28/03/2000;1200;3.2;;22;;;;;;
82753;29/03/2000;0000;;31.4;;8.8;4;24.72;76.75;2.866667;
82753;29/03/2000;1200;0;;20.3;;;;;;
82753;30/03/2000;0000;;30.2;;5.2;4.1;24.96;81.75;2.4;
82753;30/03/2000;1200;0;;20.1;;;;;;
82753;31/03/2000;0000;;31.3;;7.8;4;26.04;71.5;3.433333;
82753;31/03/2000;1200;0.4;;22.1;;;;;;
82753;01/04/2000;0000;;30.8;;5.4;4;24.08;88.75;2.3;
82753;01/04/2000;1200;2.3;;21.6;;;;;;
82753;02/04/2000;0000;;31.2;;8.1;2.6;24.92;81.25;2.033333;
82753;02/04/2000;1200;6;;21;;;;;;
82753;03/04/2000;0000;;31.4;;8.3;4.3;24.5;82;2.033333;
82753;03/04/2000;1200;0;;21.1;;;;;;
82753;04/04/2000;0000;;31.6;;9.7;5.2;25.6;74;2.733333;
82753;04/04/2000;1200;0;;21.4;;;;;;
82753;05/04/2000;0000;;32.2;;7.6;4.5;24.88;74.5;2.433333;
82753;05/04/2000;1200;0;;20.6;;;;;;
82753;06/04/2000;0000;;32.4;;6.5;4.8;26.22;76.25;2.966667;
82753;06/04/2000;1200;0;;21.2;;;;;;
82753;07/04/2000;0000;;32.2;;9.3;4.7;25.62;69;2.9;
82753;07/04/2000;1200;0;;22.5;;;;;;
82753;08/04/2000;0000;;33.3;;8.1;5.6;26.64;71.75;3.066667;
82753;08/04/2000;1200;0;;22.1;;;;;;
82753;09/04/2000;0000;;32.1;;9;5.8;24.94;80;4.266667;
82753;09/04/2000;1200;0.1;;20.2;;;;;;
82753;10/04/2000;0000;;27.8;;0.9;4.7;23.88;87.25;1.766667;
82753;10/04/2000;1200;10.4;;21;;;;;;
82753;11/04/2000;0000;;31.6;;9.4;2;24.68;77.25;2.766667;
82753;11/04/2000;1200;0.1;;21.1;;;;;;
82753;12/04/2000;0000;;30.7;;4;4.9;25.04;77.75;1.8;
82753;12/04/2000;1200;0;;20.2;;;;;;
82753;13/04/2000;0000;;29;;1.9;3;23.64;90.5;1.5;
82753;13/04/2000;1200;31.8;;20.3;;;;;;
82753;14/04/2000;0000;;30.1;;8.4;1.2;24.48;76.5;2.65;
82753;14/04/2000;1200;7.4;;21.7;;;;;;
82753;15/04/2000;0000;;30.9;;7.5;3.5;25;87.5;1.666667;
82753;15/04/2000;1200;0;;20.5;;;;;;
82753;16/04/2000;0000;;31.3;;5.3;2.8;25.02;91.25;0.8;
82753;16/04/2000;1200;0;;22.4;;;;;;
82753;17/04/2000;0000;;29;;4.5;2.1;24.14;89.75;1.266667;
82753;17/04/2000;1200;6;;22.3;;;;;;
82753;18/04/2000;0000;;29;;2.3;1.5;23.96;86.5;1.433333;
82753;18/04/2000;1200;2.9;;20.3;;;;;;
82753;19/04/2000;0000;;29.1;;4.4;1.5;24.04;90.75;2.4;
82753;19/04/2000;1200;4.6;;22.5;;;;;;
82753;20/04/2000;0000;;30.8;;7.3;2;25.3;86.5;1.466667;
82753;20/04/2000;1200;0;;21.5;;;;;;
82753;21/04/2000;0000;;31.6;;8;1.9;25.46;84;1.8;
82753;21/04/2000;1200;7.8;;21.5;;;;;;
82753;22/04/2000;0000;;32;;8;2.6;25.78;77;3.4;
82753;22/04/2000;1200;0;;21.7;;;;;;
82753;23/04/2000;0000;;31.3;;10.2;2.6;25.5;81;2.733333;
82753;23/04/2000;1200;0;;20.6;;;;;;
82753;24/04/2000;0000;;30.4;;6.7;2.8;25.1;80.25;2.3;
82753;24/04/2000;1200;0;;22.3;;;;;;
82753;25/04/2000;0000;;27.9;;1.8;3.7;23.98;79.25;3.1;
82753;25/04/2000;1200;0;;21.7;;;;;;
82753;26/04/2000;0000;;28.5;;3;2.7;24.3;78.75;2.7;
82753;26/04/2000;1200;1;;21.2;;;;;;
82753;27/04/2000;0000;;28.5;;4.8;3.7;23.98;86.5;2.4;
82753;27/04/2000;1200;0;;21;;;;;;
82753;28/04/2000;0000;;31;;7.2;4;24.88;79.5;2.4;
82753;28/04/2000;1200;0;;20.8;;;;;;
82753;29/04/2000;0000;;29.7;;5.9;4.7;24.74;77.75;2.666667;
82753;29/04/2000;1200;0;;20.6;;;;;;
82753;30/04/2000;0000;;30.3;;8.9;4.3;24.38;76.5;3.333333;
82753;30/04/2000;1200;0;;19.6;;;;;;
82753;01/05/2000;0000;;29;;2.6;4.2;23.18;85.75;2.166667;
82753;01/05/2000;1200;0;;19.2;;;;;;
82753;02/05/2000;0000;;30.9;;7.6;3.2;24.36;79.5;3;
82753;02/05/2000;1200;0;;19.4;;;;;;
82753;03/05/2000;0000;;31.2;;7.2;3.8;25.02;75;2.566667;
82753;03/05/2000;1200;0;;21;;;;;;
82753;04/05/2000;0000;;29.6;;3.2;4.7;23.94;80.25;3.033333;
82753;04/05/2000;1200;0;;19.6;;;;;;
82753;05/05/2000;0000;;30.6;;6;3.6;24.56;76.25;3.2;
82753;05/05/2000;1200;0;;20.3;;;;;;
82753;06/05/2000;0000;;29;;2.8;4.1;24.6;85.75;2.866667;
82753;06/05/2000;1200;0;;21.4;;;;;;
82753;07/05/2000;0000;;31;;6.3;2.5;25.88;73;3.233333;
82753;07/05/2000;1200;0.2;;21.6;;;;;;
82753;08/05/2000;0000;;30.9;;6.4;4.3;25.24;81.75;2.533333;
82753;08/05/2000;1200;0;;21.7;;;;;;
82753;09/05/2000;0000;;30.9;;5.6;4.1;25.02;82.25;2.6;
82753;09/05/2000;1200;0;;21.4;;;;;;
82753;10/05/2000;0000;;33.5;;9.8;3.1;25.52;80;2.1;
82753;10/05/2000;1200;0;;18.9;;;;;;
82753;11/05/2000;0000;;32.5;;10.6;5.7;25.8;62.25;3.466667;
82753;11/05/2000;1200;0;;20.7;;;;;;
82753;12/05/2000;0000;;29;;4.3;6.7;23.94;74;4.133333;
82753;12/05/2000;1200;0;;21.3;;;;;;
82753;13/05/2000;0000;;28.8;;1.6;4.7;24;74.75;3.166667;
82753;13/05/2000;1200;0;;20.8;;;;;;
82753;14/05/2000;0000;;29.3;;3.9;4.9;23.78;73.25;3.066667;
82753;14/05/2000;1200;0;;20.9;;;;;;
82753;15/05/2000;0000;;30.5;;9.7;4.7;24.56;72.25;3.8;
82753;15/05/2000;1200;0;;20.6;;;;;;
82753;16/05/2000;0000;;32.1;;8.4;6.6;25.52;69.75;2.4;
82753;16/05/2000;1200;0;;20.9;;;;;;
82753;17/05/2000;0000;;31.7;;5.5;4.5;25.06;71.5;2.866667;
