Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82983;13/02/2000;0000;;32.8;;10.5;7.4;27.4;;4.15;
82983;13/02/2000;1200;0;;22.4;;;;;;
82983;14/02/2000;0000;;30;;2.5;5.6;26.14;63.75;3;
82983;14/02/2000;1200;42.8;;20.7;;;;;;
82983;15/02/2000;0000;;31;;6.7;3.5;25.24;80;3.3;
82983;15/02/2000;1200;2.2;;22;;;;;;
82983;16/02/2000;0000;;31.3;;6.2;3.5;24.68;79;1.633333;
82983;16/02/2000;1200;2;;22.1;;;;;;
82983;17/02/2000;0000;;30;;2.7;3;25.36;74.5;1.366667;
82983;17/02/2000;1200;28.8;;22.2;;;;;;
82983;18/02/2000;0000;;29.8;;5.5;3;25.76;73.25;1.633333;
82983;18/02/2000;1200;0.3;;23.2;;;;;;
82983;19/02/2000;0000;;31.6;;11.2;3.5;26.8;55.5;2.733333;
82983;19/02/2000;1200;0.6;;23.2;;;;;;
82983;20/02/2000;0000;;32.2;;10.8;7.2;26.88;56.25;3.833333;
82983;20/02/2000;1200;0;;22.2;;;;;;
82983;21/02/2000;0000;;31.2;;7.8;8.1;26.2;62.25;2.466667;
82983;21/02/2000;1200;0;;22.4;;;;;;
82983;22/02/2000;0000;;28.8;;5.7;5.2;25.2;74.25;2.733333;
82983;22/02/2000;1200;0;;22.2;;;;;;
82983;23/02/2000;0000;;31;;4.5;3.7;25;77.25;2.466667;
82983;23/02/2000;1200;11.2;;22.8;;;;;;
82983;24/02/2000;0000;;30.2;;6.7;3.4;26;69.75;2.166667;
82983;24/02/2000;1200;0.4;;22.4;;;;;;
82983;25/02/2000;0000;;30.8;;5.2;3.9;26.12;70.25;2.166667;
82983;25/02/2000;1200;0;;23.4;;;;;;
82983;26/02/2000;0000;;31.8;;9.1;3.4;27.22;57;3.033333;
82983;26/02/2000;1200;0;;21.1;;;;;;
