"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260005 Abreu e Lima";2;5;39;65;52;18;5;6;1;-;-;-;193
"260010 Afogados da Ingazeira";33;186;303;93;50;8;1;-;-;-;-;2;676
"260020 Afrânio";-;-;14;86;45;29;9;2;-;-;-;-;185
"260030 Agrestina";1;-;-;-;-;-;-;-;-;-;1;-;2
"260040 Água Preta";1;-;-;4;57;9;2;-;-;1;-;-;74
"260050 Águas Belas";-;-;1;2;-;-;-;-;-;-;-;-;3
"260060 Alagoinha";-;4;16;8;6;3;-;-;-;-;-;-;37
"260070 Aliança";27;34;8;3;3;-;1;-;-;-;-;14;90
"260080 Altinho";2;-;-;2;2;1;1;1;2;-;-;-;11
"260090 Amaraji";-;-;3;-;1;-;-;-;-;-;-;-;4
"260105 Araçoiaba";1;2;-;1;-;-;-;-;-;-;-;-;4
"260110 Araripina";8;26;25;29;15;-;3;4;-;3;9;6;128
"260120 Arcoverde";4;-;5;3;2;-;-;-;-;2;-;3;19
"260130 Barra de Guabiraba";-;-;1;-;-;-;-;-;-;-;-;-;1
"260140 Barreiros";5;15;3;-;1;-;-;-;-;-;-;-;24
"260150 Belém de Maria";-;2;1;-;-;-;-;-;-;-;-;-;3
"260170 Belo Jardim";-;-;-;-;4;5;-;-;-;-;-;-;9
"260180 Betânia";-;2;2;-;-;-;-;-;-;-;-;-;4
"260190 Bezerros";-;1;4;-;-;-;-;-;-;-;-;-;5
"260200 Bodocó";-;-;-;-;1;1;-;-;6;2;-;-;10
"260210 Bom Conselho";1;2;4;3;-;-;3;-;-;-;-;1;14
"260220 Bom Jardim";5;9;15;11;4;4;-;-;-;-;-;-;48
"260230 Bonito";-;-;1;1;1;-;-;-;-;-;-;-;3
"260250 Brejinho";4;5;17;9;1;3;-;2;1;-;1;-;43
"260260 Brejo da Madre de Deus";-;-;-;-;-;1;2;-;-;-;-;-;3
"260270 Buenos Aires";-;3;1;2;2;-;-;-;-;-;-;-;8
"260280 Buíque";-;-;2;2;1;1;3;-;1;-;-;-;10
"260290 Cabo de Santo Agostinho";7;19;28;28;36;19;9;6;4;4;1;3;164
"260300 Cabrobó";-;1;1;8;11;8;6;3;-;-;-;-;38
"260310 Cachoeirinha";-;-;1;-;-;-;-;-;-;1;-;-;2
"260320 Caetés";1;5;9;21;4;-;2;-;-;-;2;-;44
"260330 Calçado";-;1;1;2;1;-;-;-;-;-;-;-;5
"260340 Calumbi";-;1;2;-;1;-;-;-;-;-;-;-;4
"260345 Camaragibe";1;6;27;5;17;11;3;4;-;3;-;1;78
