"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260650 Iati";-;-;1;2;2;3;-;1;-;-;-;-;9
"260670 Ibirajuba";3;1;12;13;1;3;-;-;-;-;-;-;33
"260680 Igarassu";2;2;8;12;32;37;24;34;28;24;17;6;226
"260690 Iguaracy";-;1;1;5;6;3;-;-;-;-;-;-;16
"260760 Ilha de Itamaracá";2;-;-;5;37;66;31;8;9;5;1;4;168
"260700 Inajá";-;-;-;-;-;2;-;7;-;2;-;-;11
"260710 Ingazeira";-;-;-;-;1;12;6;-;-;-;-;3;22
"260720 Ipojuca";1;-;1;8;28;28;28;18;13;2;3;17;147
"260730 Ipubi";1;1;3;-;2;1;1;-;1;-;-;-;10
"260740 Itacuruba";-;-;1;-;2;4;2;-;-;-;-;-;9
"260765 Itambé";-;-;-;-;-;-;3;15;8;2;-;-;28
"260775 Itapissuma";-;-;-;1;-;-;-;-;1;3;1;-;6
"260780 Itaquitinga";-;-;1;-;1;1;-;-;-;1;13;12;29
"260790 Jaboatão dos Guararapes";3;8;45;137;427;419;424;230;68;8;14;33;1816
"260795 Jaqueira";-;-;3;2;3;-;-;-;-;-;-;-;8
"260800 Jataúba";1;1;4;-;3;2;-;-;-;-;-;1;12
"260805 Jatobá";-;1;-;1;6;15;3;5;-;1;-;-;32
"260810 João Alfredo";1;9;8;16;7;2;2;-;-;-;-;-;45
"260820 Joaquim Nabuco";-;-;-;2;-;1;-;-;-;-;-;-;3
"260825 Jucati";-;-;2;-;3;2;2;-;-;-;-;-;9
"260830 Jupi";-;-;5;19;11;2;-;-;-;-;-;-;37
"260840 Jurema";-;-;-;-;-;1;5;-;1;-;-;-;7
"260850 Lagoa de Itaenga";-;-;1;-;-;-;-;-;-;-;-;-;1
"260845 Lagoa do Carro";-;1;2;42;86;68;48;11;2;1;2;1;264
"260860 Lagoa do Ouro";-;-;-;-;2;-;1;1;-;-;-;-;4
"260870 Lagoa dos Gatos";-;1;8;3;10;-;4;1;1;-;-;-;28
"260875 Lagoa Grande";-;5;6;-;2;-;-;-;1;-;-;-;14
"260880 Lajedo";-;-;-;1;7;1;1;-;-;-;-;-;10
"260890 Limoeiro";2;-;5;11;11;35;47;38;17;11;18;15;210
"260900 Macaparana";-;-;-;-;1;3;1;2;-;-;2;1;10
"260910 Machados";-;-;-;-;-;1;-;1;-;1;-;-;3
"260915 Manari";-;-;-;-;1;-;-;-;-;-;-;-;1
"260920 Maraial";-;-;-;3;8;1;-;-;-;-;-;1;13
"260930 Mirandiba";-;1;3;7;42;14;3;-;-;-;-;1;71
"261430 Moreilândia";-;-;1;-;-;-;-;-;-;5;-;-;6
"260940 Moreno";-;1;2;47;179;254;396;159;42;6;8;4;1098
"260950 Nazaré da Mata";-;-;-;-;3;18;21;18;11;6;11;3;91
"260960 Olinda";2;9;16;21;88;162;176;182;47;16;12;3;734
"260970 Orobó";-;-;-;2;14;9;13;1;-;2;2;2;45
"260980 Orocó";-;-;-;1;-;-;-;-;1;-;-;-;2
"260990 Ouricuri";21;174;69;2;1;-;-;-;-;-;-;1;268
"261000 Palmares";2;1;-;3;8;1;8;13;16;10;7;-;69
"261010 Palmeirina";-;-;5;7;4;1;1;-;-;-;-;-;18
"261020 Panelas";-;-;1;9;1;-;-;1;-;-;-;-;12
"261030 Paranatama";-;-;-;-;2;1;1;1;-;-;-;-;5
"261040 Parnamirim";-;2;7;13;9;12;2;4;1;-;-;-;50
"261050 Passira";-;-;-;-;-;-;-;1;2;-;-;-;3
"261060 Paudalho";-;-;-;-;9;10;31;41;19;12;19;7;148
"261070 Paulista";5;12;23;51;201;342;318;290;126;63;53;104;1588
"261080 Pedra";-;-;1;13;14;7;6;3;1;-;-;-;45
"261090 Pesqueira";1;-;2;-;2;2;-;1;1;-;4;4;17
"261100 Petrolândia";-;-;-;-;2;2;1;2;-;-;-;-;7
"261110 Petrolina";105;237;421;164;100;53;21;20;6;9;7;5;1148
"261120 Poção";-;-;-;-;-;1;2;-;-;-;-;-;3
"261130 Pombos";-;-;-;-;2;4;10;3;3;2;-;-;24
"261140 Primavera";-;-;-;-;7;8;47;7;2;-;-;-;71
"261150 Quipapá";-;-;-;-;-;-;-;2;-;-;-;-;2
"261153 Quixaba";-;-;-;32;276;141;6;5;1;-;1;6;468
"261160 Recife";40;104;248;588;1979;3209;2987;1520;420;167;140;103;11505
"261170 Riacho das Almas";-;1;27;19;8;2;-;1;1;1;-;-;60
"261180 Ribeirão";1;2;2;13;74;45;8;7;5;3;1;-;161
"261190 Rio Formoso";-;-;-;1;-;4;3;-;-;1;-;-;9
"261200 Sairé";-;-;2;5;8;-;-;1;4;1;-;4;25
"261210 Salgadinho";-;-;-;-;-;-;-;1;-;-;-;-;1
"261220 Salgueiro";19;63;270;128;320;146;51;1;-;1;1;2;1002
"261230 Saloá";-;-;-;1;3;2;-;-;-;-;-;-;6
"261240 Sanharó";-;-;-;-;1;-;2;2;9;5;-;-;19
"261245 Santa Cruz";18;83;75;9;28;2;2;-;-;-;-;1;218
"261247 Santa Cruz da Baixa Verde";2;-;12;11;29;11;2;-;-;-;-;-;67
"261250 Santa Cruz do Capibaribe";4;9;56;36;8;1;2;-;-;-;-;-;116
"261255 Santa Filomena";1;6;11;1;-;1;-;-;-;-;-;-;20
"261260 Santa Maria da Boa Vista";-;-;1;-;1;6;-;-;-;-;-;1;9
"261280 Santa Terezinha";-;-;-;-;-;-;1;1;-;-;-;-;2
"261290 São Benedito do Sul";-;-;-;1;-;-;-;-;1;-;-;-;2
"261300 São Bento do Una";2;-;-;3;17;8;5;-;-;1;-;1;37
"261310 São Caitano";-;-;3;19;47;15;15;-;-;-;-;1;100
"261320 São João";-;22;69;10;2;-;-;-;-;-;-;-;103
"261330 São Joaquim do Monte";1;-;-;11;11;11;-;-;-;-;-;-;34
"261340 São José da Coroa Grande";-;1;-;-;4;4;8;7;1;1;2;-;28
"261350 São José do Belmonte";38;192;91;32;13;5;32;-;2;2;41;4;452
"261360 São José do Egito";-;-;-;1;3;3;-;5;4;-;-;2;18
"261370 São Lourenço da Mata";-;-;3;5;35;55;50;33;9;3;1;-;194
"261380 São Vicente Ferrer";-;-;-;-;3;-;-;-;-;-;-;-;3
"261390 Serra Talhada";2;6;20;29;70;46;21;9;4;3;4;1;215
"261400 Serrita";-;-;1;4;5;-;2;1;8;8;11;12;52
"261410 Sertânia";-;1;-;-;-;1;-;1;-;1;3;4;11
"261420 Sirinhaém";-;-;-;-;-;-;-;1;-;-;-;-;1
"261440 Solidão";-;-;-;1;3;5;2;-;-;-;2;-;13
"261450 Surubim";1;9;124;151;78;33;16;9;9;1;3;1;435
"261460 Tabira";-;-;3;1;-;2;-;6;3;2;7;15;39
"261470 Tacaimbó";-;-;-;8;14;4;-;1;1;-;-;-;28
"261480 Tacaratu";-;-;1;18;8;-;2;1;-;-;1;-;31
"261485 Tamandaré";-;-;-;-;-;-;2;1;-;-;1;-;4
"261500 Taquaritinga do Norte";-;-;1;20;17;14;10;2;1;-;-;1;66
"261510 Terezinha";-;-;-;-;-;2;1;-;-;-;-;-;3
"261520 Terra Nova";-;3;45;6;7;-;-;-;-;-;-;-;61
"261530 Timbaúba";-;2;8;6;9;6;9;4;-;1;-;-;45
"261540 Toritama";-;4;-;3;1;-;-;-;-;-;-;-;8
"261550 Tracunhaém";-;-;1;-;-;1;4;2;-;-;-;-;8
"261560 Trindade";-;-;1;1;1;-;-;-;-;-;-;-;3
"261570 Triunfo";-;2;10;48;22;6;3;-;-;-;-;-;91
"261590 Tuparetama";-;-;-;-;3;4;2;1;1;1;1;1;14
"261600 Venturosa";-;-;1;4;11;18;-;-;-;-;-;-;34
"261610 Verdejante";-;1;8;-;-;2;1;1;1;-;1;-;15
"261618 Vertente do Lério";-;-;-;1;1;-;-;-;4;-;-;-;6
"261620 Vertentes";3;8;9;12;26;28;5;1;-;1;-;-;93
"261630 Vicência";-;-;1;4;2;-;1;-;2;2;4;4;20
"261640 Vitória de Santo Antão";-;-;8;46;59;102;115;57;23;16;2;1;429
"261650 Xexéu";-;-;-;-;2;2;-;-;1;-;-;-;5
