"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260005 Abreu e Lima";-;-;3;-;1;24;4;42;11;26;24;10;145
"260010 Afogados da Ingazeira";-;1;3;14;56;49;7;7;2;7;15;17;178
"260020 Afrânio";10;5;12;6;-;1;-;-;-;-;-;-;34
"260030 Agrestina";-;1;4;1;-;-;-;-;-;1;-;-;7
"260040 Água Preta";-;-;1;16;4;1;4;6;4;3;2;5;46
"260050 Águas Belas";-;-;2;-;3;-;-;-;-;-;-;-;5
"260060 Alagoinha";-;-;-;-;-;-;-;2;1;2;4;1;10
"260070 Aliança";-;-;-;-;1;-;-;-;-;-;1;1;3
"260080 Altinho";3;1;19;33;103;27;23;10;-;2;1;1;223
"260090 Amaraji";-;-;68;34;25;15;1;-;-;1;1;-;145
"260100 Angelim";-;-;1;1;-;1;-;-;-;-;1;-;4
"260105 Araçoiaba";-;-;-;4;-;2;1;-;-;-;-;-;7
"260110 Araripina";2;8;6;3;10;-;5;1;1;-;2;-;38
"260120 Arcoverde";3;-;15;43;45;47;20;10;1;2;5;8;199
"260130 Barra de Guabiraba";-;-;-;-;2;1;-;1;-;-;-;-;4
"260140 Barreiros";-;1;5;18;87;30;9;9;1;4;2;-;166
"260150 Belém de Maria";-;-;1;1;-;-;-;-;-;-;-;-;2
"260160 Belém do São Francisco";-;-;3;9;8;1;1;-;-;-;-;-;22
"260170 Belo Jardim";-;-;1;20;53;87;39;56;40;17;22;9;344
"260180 Betânia";-;-;-;-;1;-;1;-;-;-;-;-;2
"260190 Bezerros";8;16;39;11;1;3;-;-;-;-;-;-;78
"260200 Bodocó";-;2;36;36;28;26;5;1;2;-;2;-;138
"260210 Bom Conselho";1;-;2;11;7;5;5;2;-;-;-;-;33
"260220 Bom Jardim";-;-;2;2;15;23;27;5;5;8;1;1;89
"260230 Bonito";-;-;1;3;25;12;10;1;4;1;-;-;57
"260240 Brejão";-;-;-;4;8;6;2;-;-;-;-;-;20
"260250 Brejinho";-;-;1;1;-;-;-;-;-;-;1;-;3
"260260 Brejo da Madre de Deus";-;-;-;1;19;8;9;9;3;-;-;-;49
"260280 Buíque";-;-;-;1;1;-;-;-;-;-;-;-;2
"260290 Cabo de Santo Agostinho";4;6;46;110;438;465;172;105;44;26;24;10;1450
"260300 Cabrobó";-;-;-;1;-;-;1;-;-;-;-;-;2
"260310 Cachoeirinha";-;-;-;-;4;-;1;-;-;-;-;-;5
"260320 Caetés";-;-;1;10;24;4;3;2;-;-;-;-;44
"260330 Calçado";-;-;1;5;17;14;5;4;-;-;-;-;46
"260340 Calumbi";-;-;-;-;3;-;-;-;-;-;-;-;3
"260345 Camaragibe";1;-;3;23;57;88;81;32;10;-;3;-;298
"260350 Camocim de São Félix";-;1;-;-;1;23;7;-;-;1;-;-;33
"260360 Camutanga";-;-;-;-;2;-;-;-;-;-;-;-;2
"260370 Canhotinho";-;1;-;1;3;2;6;4;-;-;-;-;17
"260380 Capoeiras";-;-;-;3;14;11;9;1;-;-;-;-;38
"260390 Carnaíba";1;1;-;3;32;24;3;10;-;3;5;7;89
"260392 Carnaubeira da Penha";-;-;-;1;-;-;-;-;-;-;-;-;1
"260400 Carpina";-;-;3;1;9;8;11;19;12;4;-;1;68
"260410 Caruaru";10;28;216;367;336;160;71;59;13;1;11;5;1277
"260415 Casinhas";10;2;15;32;19;23;9;3;1;-;-;3;117
"260420 Catende";-;-;-;2;16;1;4;4;1;1;-;-;29
"260430 Cedro";-;4;34;12;9;20;8;2;1;-;-;1;91
"260440 Chã de Alegria";-;-;-;1;4;2;3;-;-;-;-;-;10
"260450 Chã Grande";3;9;7;6;45;30;8;3;6;1;-;16;134
"260460 Condado";-;1;-;-;2;-;12;15;33;35;27;19;144
"260470 Correntes";-;-;1;-;1;3;2;-;-;-;-;-;7
"260480 Cortês";8;31;32;1;-;-;-;-;-;-;-;-;72
"260490 Cumaru";-;-;1;5;31;26;3;1;1;1;-;-;69
"260500 Cupira";-;-;-;-;-;4;2;-;1;2;1;-;10
"260510 Custódia";1;-;5;7;13;4;2;-;-;-;1;-;33
"260515 Dormentes";20;1;-;-;1;-;-;-;-;-;-;4;26
"260520 Escada";-;-;14;15;25;13;4;-;2;18;7;-;98
"260530 Exu";-;2;10;6;7;6;9;3;-;-;1;1;45
"260540 Feira Nova";-;-;-;-;-;4;6;-;-;-;1;-;11
"260545 Fernando de Noronha";-;-;1;-;3;30;20;3;2;-;-;-;59
"260550 Ferreiros";-;-;-;-;-;-;8;-;-;-;-;-;8
"260560 Flores";-;-;-;1;-;1;-;6;-;-;-;-;8
"260570 Floresta";-;-;-;1;19;11;5;2;1;-;-;-;39
"260580 Frei Miguelinho";-;-;1;2;26;19;4;4;-;-;-;-;56
"260590 Gameleira";5;36;76;17;7;3;9;1;2;-;-;-;156
"260600 Garanhuns";1;11;20;114;251;236;87;19;8;4;3;7;761
"260610 Glória do Goitá";2;7;17;31;21;3;6;5;2;1;-;-;95
"260620 Goiana";1;-;-;1;3;1;10;5;7;24;20;7;79
"260630 Granito";-;-;-;11;13;8;-;-;-;-;-;-;32
"260640 Gravatá";-;3;10;10;49;47;65;18;14;3;2;3;224
