"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260700 Inajá";-;1;7;5;8;1;1;-;1;-;-;-;24
"260710 Ingazeira";-;-;12;12;-;-;-;-;-;-;-;-;24
"260720 Ipojuca";19;50;156;161;113;85;42;28;15;16;9;14;708
"260730 Ipubi";3;-;1;-;1;-;-;-;-;-;-;-;5
"260740 Itacuruba";1;-;1;1;3;-;-;-;-;-;-;-;6
"260750 Itaíba";-;29;10;1;-;-;-;-;-;-;-;-;40
"260765 Itambé";22;58;28;18;7;1;-;-;-;-;1;6;141
"260770 Itapetim";-;1;37;27;11;-;-;-;-;-;-;-;76
"260775 Itapissuma";-;2;4;-;-;-;-;-;1;-;-;-;7
"260780 Itaquitinga";1;12;56;14;-;-;-;-;-;2;-;-;85
"260790 Jaboatão dos Guararapes";83;134;299;309;170;90;121;57;36;25;37;42;1403
"260795 Jaqueira";-;-;1;2;1;1;1;1;1;-;-;-;8
"260800 Jataúba";-;1;9;1;-;1;-;-;-;-;-;-;12
"260805 Jatobá";-;-;-;4;7;3;1;1;-;1;-;-;17
"260810 João Alfredo";-;1;-;-;-;1;-;-;-;-;-;-;2
"260825 Jucati";-;-;-;-;-;1;-;-;-;-;-;-;1
"260830 Jupi";-;-;1;2;4;-;-;-;-;-;-;-;7
"260840 Jurema";-;-;-;1;1;-;-;-;-;-;-;-;2
"260850 Lagoa de Itaenga";2;1;-;-;-;-;-;-;-;-;-;1;4
"260845 Lagoa do Carro";27;6;1;-;2;-;-;1;1;-;1;2;41
"260860 Lagoa do Ouro";-;-;-;-;4;9;-;-;-;-;-;-;13
"260875 Lagoa Grande";1;4;9;30;19;7;1;-;1;-;-;1;73
"260880 Lajedo";-;-;3;9;13;4;-;-;1;-;-;-;30
"260890 Limoeiro";163;91;49;49;16;13;11;2;2;2;3;9;410
"260900 Macaparana";3;2;41;108;10;4;2;3;-;-;-;-;173
"260910 Machados";-;3;9;-;8;4;3;1;1;1;-;-;30
"260920 Maraial";-;-;2;4;3;-;-;-;-;-;-;-;9
"260930 Mirandiba";-;1;3;29;14;-;-;-;-;-;-;-;47
"261430 Moreilândia";-;9;2;6;1;-;-;-;-;-;-;-;18
"260940 Moreno";9;22;15;7;2;-;-;-;-;1;-;-;56
"260950 Nazaré da Mata";2;1;-;1;-;-;-;-;-;-;1;2;7
"260960 Olinda";153;326;457;109;71;66;79;66;25;27;33;42;1454
"260970 Orobó";-;-;5;18;16;9;3;1;1;1;-;-;54
"260980 Orocó";1;-;-;-;2;-;-;-;-;-;-;-;3
"260990 Ouricuri";8;1;-;-;-;-;-;3;-;-;-;-;12
"261000 Palmares";-;1;21;118;67;2;12;-;1;1;1;-;224
"261010 Palmeirina";-;-;-;1;-;1;-;-;-;-;-;-;2
"261020 Panelas";-;-;1;-;-;-;1;-;-;-;-;-;2
"261030 Paranatama";-;-;-;1;2;-;1;-;-;-;-;-;4
"261040 Parnamirim";-;4;47;46;20;-;9;5;-;-;-;-;131
"261050 Passira";110;12;2;-;-;-;-;-;1;-;-;11;136
"261060 Paudalho";-;-;4;-;2;-;1;-;-;-;-;1;8
"261070 Paulista";61;97;102;43;95;113;81;31;3;8;5;1;640
"261080 Pedra";-;5;10;28;5;-;-;-;-;-;-;-;48
"261090 Pesqueira";2;5;28;44;13;2;-;1;-;-;-;-;95
"261100 Petrolândia";1;3;10;19;9;3;2;2;1;1;-;-;51
"261110 Petrolina";51;38;59;75;51;27;7;3;5;3;-;2;321
"261120 Poção";-;-;2;16;-;-;-;-;-;-;-;-;18
"261130 Pombos";3;3;6;11;11;4;1;1;-;-;-;-;40
"261140 Primavera";2;16;47;133;76;13;8;-;-;-;-;-;295
"261150 Quipapá";-;-;-;-;3;-;-;-;-;-;-;-;3
"261153 Quixaba";3;1;18;15;-;-;-;-;-;-;-;-;37
"261160 Recife";1649;2547;3129;1896;870;425;378;192;109;114;142;334;11785
"261170 Riacho das Almas";1;6;5;4;3;-;-;-;-;-;-;1;20
"261180 Ribeirão";-;4;8;12;3;1;1;-;-;-;-;-;29
"261190 Rio Formoso";-;-;-;4;7;14;14;3;-;3;1;-;46
"261200 Sairé";-;-;9;13;-;-;-;-;-;-;-;-;22
"261210 Salgadinho";-;2;-;-;-;-;-;-;-;-;-;-;2
"261220 Salgueiro";12;9;35;40;20;11;8;3;1;1;2;4;146
"261230 Saloá";-;-;-;1;4;1;-;-;-;-;-;-;6
"261240 Sanharó";2;-;3;3;3;-;-;-;-;-;-;-;11
"261245 Santa Cruz";3;33;48;10;4;2;1;-;-;-;-;-;101
"261247 Santa Cruz da Baixa Verde";-;-;9;10;11;3;-;-;-;-;-;-;33
"261250 Santa Cruz do Capibaribe";1;-;1;5;-;-;1;-;-;-;-;-;8
"261255 Santa Filomena";2;16;4;3;1;-;2;-;-;-;-;-;28
"261260 Santa Maria da Boa Vista";-;-;-;4;-;1;1;-;-;1;-;-;7
"261270 Santa Maria do Cambucá";-;-;1;2;4;1;-;1;-;-;-;-;9
"261280 Santa Terezinha";-;5;20;57;23;2;-;-;-;-;-;-;107
"261290 São Benedito do Sul";-;1;-;-;1;1;-;-;-;-;-;-;3
"261300 São Bento do Una";8;9;32;11;-;-;-;-;-;-;-;-;60
"261310 São Caitano";-;-;5;7;1;-;-;-;-;-;-;-;13
"261320 São João";-;-;1;5;5;3;-;-;-;-;-;-;14
"261330 São Joaquim do Monte";-;-;-;2;-;-;-;-;-;-;-;-;2
"261340 São José da Coroa Grande";1;5;15;22;11;1;-;1;-;-;-;1;57
"261350 São José do Belmonte";1;7;35;152;37;6;5;1;-;-;2;1;247
"261360 São José do Egito";47;214;279;94;51;5;1;3;1;-;-;-;695
"261370 São Lourenço da Mata";14;7;29;19;1;2;2;-;1;1;3;2;81
"261380 São Vicente Ferrer";-;-;1;1;-;2;-;-;-;-;-;-;4
"261390 Serra Talhada";9;30;56;73;42;20;3;1;1;-;2;2;239
"261400 Serrita";4;25;5;9;9;10;3;1;2;1;-;-;69
"261410 Sertânia";23;16;14;3;-;-;-;-;-;-;-;1;57
"261420 Sirinhaém";1;1;10;1;5;-;-;-;-;-;-;-;18
"261440 Solidão";1;1;7;8;6;1;-;-;-;-;-;-;24
"261450 Surubim";44;37;89;37;20;2;1;-;1;-;3;1;235
"261460 Tabira";1;12;43;5;3;2;-;-;-;-;-;-;66
"261470 Tacaimbó";1;-;-;4;2;-;-;-;-;-;-;-;7
"261480 Tacaratu";-;-;-;-;-;1;-;-;-;-;-;-;1
"261485 Tamandaré";-;-;3;3;10;1;1;-;-;-;-;1;19
"261500 Taquaritinga do Norte";6;6;6;19;52;30;16;9;3;1;-;-;148
"261510 Terezinha";-;-;1;-;2;4;-;1;-;-;-;-;8
"261520 Terra Nova";4;10;3;-;-;-;-;-;-;-;-;-;17
"261530 Timbaúba";10;30;156;49;11;1;2;-;-;1;2;1;263
"261540 Toritama";1;-;-;-;1;2;8;-;-;-;-;-;12
