;Município de notificação;ANO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
0;260005 Abreu e Lima;2012;16;38;113;53;4;4;2;0;0;0;1;1
1;260010 Afogados da Ingazeira;2012;102;524;622;541;129;49;30;9;1;1;0;2
2;260020 Afrânio;2012;0;1;0;5;5;0;0;0;0;0;0;0
3;260030 Agrestina;2012;0;4;2;9;5;1;1;0;3;0;0;0
4;260040 Água Preta;2012;0;0;0;2;2;4;0;1;0;2;2;0
5;260050 Águas Belas;2012;1;1;8;14;3;3;0;0;1;0;0;0
6;260060 Alagoinha;2012;1;0;6;16;8;5;3;0;0;0;0;0
7;260070 Aliança;2012;0;9;35;36;8;0;1;0;0;0;0;0
8;260080 Altinho;2012;5;11;43;113;60;11;1;0;0;0;0;0
9;260090 Amaraji;2012;0;1;0;3;0;0;0;0;0;0;0;0
10;260100 Angelim;2012;0;0;0;0;1;2;2;0;0;0;0;0
11;260105 Araçoiaba;2012;0;1;1;2;0;0;0;0;0;0;0;0
12;260110 Araripina;2012;39;50;38;17;2;2;0;1;1;0;0;6
13;260120 Arcoverde;2012;13;27;42;11;4;2;0;0;0;2;2;1
14;260130 Barra de Guabiraba;2012;0;0;2;0;0;0;0;0;0;0;0;0
15;260140 Barreiros;2012;0;0;0;0;0;1;0;0;0;0;0;0
16;260150 Belém de Maria;2012;0;0;0;0;1;1;0;0;0;0;0;0
17;260160 Belém do São Francisco;2012;0;0;2;0;0;0;0;0;0;1;0;0
18;260170 Belo Jardim;2012;0;0;2;5;1;0;0;0;0;0;0;0
19;260180 Betânia;2012;1;0;0;7;0;4;2;0;0;0;0;0
20;260190 Bezerros;2012;2;14;48;24;3;0;1;0;1;0;0;3
21;260200 Bodocó;2012;24;7;4;1;1;1;0;0;0;0;0;2
22;260210 Bom Conselho;2012;0;0;1;14;14;7;1;0;0;0;0;0
23;260220 Bom Jardim;2012;2;13;77;32;3;1;0;0;0;0;0;0
24;260230 Bonito;2012;2;1;2;3;2;0;2;1;0;0;0;0
25;260240 Brejão;2012;1;0;1;1;5;0;0;0;0;0;0;0
26;260250 Brejinho;2012;0;0;6;14;4;0;0;0;0;0;0;0
27;260260 Brejo da Madre de Deus;2012;1;9;22;26;20;8;1;0;0;0;0;0
28;260270 Buenos Aires;2012;0;2;3;1;1;0;0;0;0;0;0;1
29;260280 Buíque;2012;0;5;1;5;3;3;0;0;0;1;0;1
30;260290 Cabo de Santo Agostinho;2012;30;67;350;286;214;110;152;43;15;2;2;9
31;260300 Cabrobó;2012;0;0;0;1;1;0;0;0;0;2;1;0
