;Município de notificação;ANO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
77;260765 Itambé;2011;3;7;30;26;14;3;0;0;0;0;0;0
78;260770 Itapetim;2011;5;9;46;5;2;0;0;2;0;0;0;0
79;260775 Itapissuma;2011;1;0;2;1;6;3;1;0;2;0;0;0
80;260780 Itaquitinga;2011;7;6;10;13;21;10;14;0;0;3;0;1
81;260790 Jaboatão dos Guararapes;2011;9;31;69;90;51;24;18;12;4;1;3;1
82;260795 Jaqueira;2011;0;0;1;0;2;10;2;2;0;0;0;0
83;260800 Jataúba;2011;0;0;0;1;0;0;0;0;0;0;0;0
84;260810 João Alfredo;2011;2;0;0;2;0;1;2;0;0;0;0;1
85;260820 Joaquim Nabuco;2011;0;2;1;4;1;0;1;0;0;0;0;0
86;260825 Jucati;2011;0;1;0;0;1;0;0;1;0;0;0;0
87;260830 Jupi;2011;0;1;3;3;2;0;0;0;0;0;0;0
88;260840 Jurema;2011;0;4;12;76;16;0;0;0;0;0;0;0
89;260850 Lagoa de Itaenga;2011;2;1;0;1;2;0;0;0;0;0;0;0
90;260845 Lagoa do Carro;2011;0;7;27;28;24;5;6;9;4;11;2;3
91;260860 Lagoa do Ouro;2011;0;0;1;0;0;0;0;0;0;1;0;0
92;260870 Lagoa dos Gatos;2011;0;0;0;0;0;0;0;1;0;0;0;0
93;260875 Lagoa Grande;2011;0;2;0;0;0;0;0;0;0;0;0;0
94;260880 Lajedo;2011;0;0;0;2;6;1;1;0;0;0;0;0
95;260890 Limoeiro;2011;20;23;23;34;20;10;8;2;5;1;0;2
96;260900 Macaparana;2011;1;1;2;4;11;5;1;0;0;0;0;0
97;260910 Machados;2011;0;4;17;10;1;5;1;0;0;2;0;0
98;260915 Manari;2011;0;3;0;0;0;0;1;0;0;0;0;0
99;260920 Maraial;2011;0;0;0;1;1;0;1;0;0;0;0;0
100;260930 Mirandiba;2011;0;0;0;2;2;1;0;0;0;0;0;0
101;261430 Moreilândia;2011;0;5;1;4;0;0;0;0;0;0;0;0
102;260940 Moreno;2011;2;7;26;36;83;43;11;1;3;9;0;0
103;260950 Nazaré da Mata;2011;1;0;1;0;1;16;3;0;2;1;0;1
104;260960 Olinda;2011;8;41;90;65;69;79;24;35;31;32;15;4
105;260970 Orobó;2011;3;6;27;6;4;0;0;0;3;0;0;0
106;260990 Ouricuri;2011;2;0;0;0;0;0;0;1;2;6;0;0
107;261000 Palmares;2011;1;5;31;21;5;18;2;2;0;2;1;0
108;261010 Palmeirina;2011;0;0;1;0;0;0;0;0;0;0;0;0
109;261020 Panelas;2011;0;0;1;2;0;0;0;0;0;0;0;0
110;261030 Paranatama;2011;0;1;6;14;2;0;1;0;0;1;0;0
111;261050 Passira;2011;0;0;5;5;3;1;0;0;0;0;0;0
112;261060 Paudalho;2011;45;70;81;71;45;9;50;10;0;3;0;0
113;261070 Paulista;2011;17;64;85;86;90;67;22;41;45;38;4;10
