;Município de notificação;ANO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
114;261080 Pedra;2011;0;0;3;1;0;0;0;0;1;0;0;0
115;261090 Pesqueira;2011;1;0;3;3;3;8;1;0;0;0;0;0
116;261100 Petrolândia;2011;0;0;0;1;1;3;0;0;0;0;0;0
117;261110 Petrolina;2011;75;85;74;67;66;56;28;4;2;2;1;7
118;261120 Poção;2011;0;2;16;0;1;1;0;0;0;0;0;0
119;261130 Pombos;2011;1;0;2;2;1;0;0;0;0;0;0;0
120;261140 Primavera;2011;0;2;1;1;0;1;2;4;4;0;0;0
121;261150 Quipapá;2011;0;4;8;4;4;4;1;2;2;0;0;0
122;261153 Quixaba;2011;4;9;10;1;0;8;4;2;1;1;0;1
123;261160 Recife;2011;82;204;461;512;790;723;569;434;404;437;416;117
124;261180 Ribeirão;2011;0;7;6;2;2;2;0;0;1;0;0;0
125;261190 Rio Formoso;2011;0;2;16;9;0;1;4;0;0;0;0;2
126;261210 Salgadinho;2011;0;1;0;0;0;0;0;1;0;0;0;0
127;261220 Salgueiro;2011;1;1;13;5;9;1;8;0;0;0;0;0
128;261230 Saloá;2011;0;0;2;1;1;0;0;0;0;0;0;0
129;261240 Sanharó;2011;0;0;0;2;1;0;0;0;0;0;0;1
130;261247 Santa Cruz da Baixa Verde;2011;0;1;2;0;0;0;0;0;0;0;0;0
131;261250 Santa Cruz do Capibaribe;2011;1;2;5;7;6;0;0;0;0;0;0;0
132;261260 Santa Maria da Boa Vista;2011;1;0;0;3;0;1;0;0;0;0;0;0
133;261270 Santa Maria do Cambucá;2011;0;0;0;2;1;0;0;0;1;0;0;0
134;261280 Santa Terezinha;2011;2;5;13;3;2;1;0;0;0;0;0;0
135;261320 São João;2011;0;0;1;1;0;0;0;0;0;0;0;0
136;261330 São Joaquim do Monte;2011;2;3;1;1;0;1;0;0;0;0;0;0
137;261340 São José da Coroa Grande;2011;2;3;5;0;6;4;1;4;0;1;0;0
138;261350 São José do Belmonte;2011;51;41;89;163;64;14;4;1;0;0;0;16
139;261360 São José do Egito;2011;14;32;60;34;13;4;4;0;0;0;0;1
140;261370 São Lourenço da Mata;2011;1;0;1;2;1;9;3;0;0;0;0;2
141;261380 São Vicente Ferrer;2011;0;0;0;3;0;0;0;0;0;0;0;0
142;261390 Serra Talhada;2011;13;9;15;14;3;5;2;0;0;0;0;3
143;261400 Serrita;2011;48;16;37;20;0;0;0;0;0;0;0;12
144;261410 Sertânia;2011;8;4;11;5;2;1;3;3;0;4;0;0
145;261440 Solidão;2011;10;10;10;17;4;1;1;0;0;0;0;0
146;261450 Surubim;2011;1;1;1;3;14;15;11;5;3;3;3;0
147;261460 Tabira;2011;41;24;6;1;1;0;0;0;0;0;0;0
148;261480 Tacaratu;2011;0;0;1;3;3;2;1;0;0;0;0;0
149;261485 Tamandaré;2011;1;5;4;2;6;2;6;1;0;1;0;2
150;261500 Taquaritinga do Norte;2011;0;0;0;0;0;1;3;2;3;1;3;1
151;261510 Terezinha;2011;0;0;0;0;0;1;0;0;0;1;0;0
152;261520 Terra Nova;2011;0;0;0;0;36;11;4;0;0;0;0;0
153;261530 Timbaúba;2011;3;12;46;65;42;3;0;0;0;0;0;0
154;261540 Toritama;2011;0;0;1;2;0;0;0;0;0;0;0;0
155;261550 Tracunhaém;2011;2;14;5;1;1;0;0;1;0;0;0;0
156;261570 Triunfo;2011;2;0;6;4;0;0;0;0;0;0;0;0
157;261580 Tupanatinga;2011;0;0;10;6;18;5;1;0;0;1;0;0
158;261590 Tuparetama;2011;0;2;3;7;1;0;0;3;0;0;0;0
159;261600 Venturosa;2011;0;0;0;0;0;3;1;1;0;0;0;0
160;261610 Verdejante;2011;4;11;41;74;38;2;0;0;4;0;0;0
161;261618 Vertente do Lério;2011;0;0;0;0;0;1;0;0;0;0;0;0
162;261620 Vertentes;2011;0;4;1;0;0;0;0;0;0;0;0;0
163;261630 Vicência;2011;8;12;0;1;4;1;0;0;0;0;0;0
164;261640 Vitória de Santo Antão;2011;11;33;74;41;91;27;12;3;9;10;4;0
165;261650 Xexéu;2011;0;1;0;0;2;10;2;0;1;1;0;0
